id,name,category,hasImg,title,artist
4365,tt1568338,1,1,Man on a Ledge,Asger Leth
4366,tt0097165,1,1,Dead Poets Society,Peter Weir
4367,tt0088680,1,1,After Hours,Martin Scorsese
4368,tt0066999,1,1,Dirty Harry,Don Siegel
4369,tt0069762,1,1,Badlands,Terrence Malick
4370,tt2991224,1,1,Mandariinid,Zaza Urushadze
4371,tt0120815,1,1,Saving Private Ryan,Steven Spielberg
4372,tt0091188,1,1,Heartburn,Mike Nichols
4373,tt0936501,1,1,Taken,Pierre Morel
4374,tt0455760,1,1,Dead Silence,James Wan
4375,tt0087843,1,1,Once Upon a Time in America,Sergio Leone
4376,tt0959337,1,1,Revolutionary Road,Sam Mendes
4377,tt0363988,1,1,Secret Window,David Koepp
4378,tt1204975,1,1,Last Vegas,Jon Turteltaub
4379,tt0111187,1,1,Silent Fall,Bruce Beresford
4380,tt0095953,1,1,Rain Man,Barry Levinson
4381,tt0100157,1,1,Misery,Rob Reiner
4382,tt0061811,1,1,In the Heat of the Night,Norman Jewison
4383,tt0113987,1,1,Nixon,Oliver Stone
4384,tt0281358,1,1,A Walk to Remember,Adam Shankman
4385,tt0089927,1,1,Rocky IV,Sylvester Stallone
4386,tt0212712,1,1,2046,Kar-Wai Wong
4387,tt0840361,1,1,The Town,Ben Affleck
4388,tt0110912,1,1,Pulp Fiction,Quentin Tarantino
4389,tt0107554,1,1,Menace II Society,"Allen Hughes, Albert Hughes"
4390,tt0257360,1,1,About Schmidt,Alexander Payne
4391,tt0120663,1,1,Eyes Wide Shut,Stanley Kubrick
4392,tt1033575,1,1,The Descendants,Alexander Payne
4393,tt0082846,1,1,On Golden Pond,Mark Rydell
4394,tt0033467,1,1,Citizen Kane,Orson Welles
4395,tt3774114,1,1,Snowden,Oliver Stone
4396,tt1560985,1,1,The Devil Inside,William Brent Bell
4397,tt0086312,1,1,Silkwood,Mike Nichols
4398,tt2334649,1,1,Fruitvale Station,Ryan Coogler
4399,tt0162661,1,1,Sleepy Hollow,Tim Burton
4400,tt1219289,1,1,Limitless,Neil Burger
4401,tt0365109,1,1,Deep Blue,"Alastair Fothergill, Andy Byatt"
4402,tt0100935,1,1,Wild at Heart,David Lynch
4403,tt1179031,1,1,Cold in July,Jim Mickle
4404,tt1210166,1,1,Moneyball,Bennett Miller
4405,tt1179031,1,1,Cold in July,Jim Mickle
4406,tt1210166,1,1,Moneyball,Bennett Miller
4407,tt0162661,1,1,Sleepy Hollow,Tim Burton
4408,tt0100935,1,1,Wild at Heart,David Lynch
4409,tt0365109,1,1,Deep Blue,"Alastair Fothergill, Andy Byatt"
4410,tt1219289,1,1,Limitless,Neil Burger
4411,tt1560985,1,1,The Devil Inside,William Brent Bell
4412,tt3774114,1,1,Snowden,Oliver Stone
4413,tt0033467,1,1,Citizen Kane,Orson Welles
4414,tt2334649,1,1,Fruitvale Station,Ryan Coogler
4415,tt0086312,1,1,Silkwood,Mike Nichols
4416,tt1033575,1,1,The Descendants,Alexander Payne
4417,tt0082846,1,1,On Golden Pond,Mark Rydell
4418,tt0110912,1,1,Pulp Fiction,Quentin Tarantino
4419,tt0840361,1,1,The Town,Ben Affleck
4420,tt0212712,1,1,2046,Kar-Wai Wong
4421,tt0089927,1,1,Rocky IV,Sylvester Stallone
4422,tt0120663,1,1,Eyes Wide Shut,Stanley Kubrick
4423,tt0257360,1,1,About Schmidt,Alexander Payne
4424,tt0107554,1,1,Menace II Society,"Allen Hughes, Albert Hughes"
4425,tt0281358,1,1,A Walk to Remember,Adam Shankman
4426,tt0100157,1,1,Misery,Rob Reiner
4427,tt0061811,1,1,In the Heat of the Night,Norman Jewison
4428,tt0095953,1,1,Rain Man,Barry Levinson
4429,tt0113987,1,1,Nixon,Oliver Stone
4430,tt0087843,1,1,Once Upon a Time in America,Sergio Leone
4431,tt0959337,1,1,Revolutionary Road,Sam Mendes
4432,tt0455760,1,1,Dead Silence,James Wan
4433,tt0936501,1,1,Taken,Pierre Morel
4434,tt0111187,1,1,Silent Fall,Bruce Beresford
4435,tt1204975,1,1,Last Vegas,Jon Turteltaub
4436,tt0363988,1,1,Secret Window,David Koepp
4437,tt0120815,1,1,Saving Private Ryan,Steven Spielberg
4438,tt0091188,1,1,Heartburn,Mike Nichols
4439,tt0069762,1,1,Badlands,Terrence Malick
4440,tt0066999,1,1,Dirty Harry,Don Siegel
4441,tt0088680,1,1,After Hours,Martin Scorsese
4442,tt2991224,1,1,Mandariinid,Zaza Urushadze
4443,tt0477348,1,1,No Country for Old Men,"Joel Coen, Ethan Coen"
4444,tt0088184,1,1,Stranger Than Paradise,Jim Jarmusch
4445,tt0097165,1,1,Dead Poets Society,Peter Weir
4446,tt1568338,1,1,Man on a Ledge,Asger Leth
4447,tt1937149,1,1,El cuerpo,Oriol Paulo
4448,tt2125435,1,1,Beasts of the Southern Wild,Benh Zeitlin
4449,tt0264796,1,1,Life as a House,Irwin Winkler
4450,tt0095174,1,1,Frantic,Roman Polanski
4451,tt1433813,1,1,Hubble 3D,Toni Myers
4452,tt0408306,1,1,Munich,Steven Spielberg
4453,tt0118749,1,1,Boogie Nights,Paul Thomas Anderson
4454,tt0057115,1,1,The Great Escape,John Sturges
4455,tt0111693,1,1,When a Man Loves a Woman,Luis Mandoki
4456,tt5247022,1,1,Paterson,Jim Jarmusch
4457,tt0332280,1,1,The Notebook,Nick Cassavetes
4458,tt1439572,1,1,Perfect Sense,David Mackenzie
4459,tt1670345,1,1,Now You See Me,Louis Leterrier
4460,tt3300542,1,1,London Has Fallen,Babak Najafi
4461,tt0074285,1,1,Carrie,Brian De Palma
4462,tt1714915,1,1,Only Lovers Left Alive,Jim Jarmusch
4463,tt0078718,1,1,...and justice for all.,Norman Jewison
4464,tt0283139,1,1,White Oleander,Peter Kosminsky
4465,tt2872718,1,1,Nightcrawler,Dan Gilroy
4466,tt0084911,1,1,Witness for the Prosecution,Alan Gibson
4467,tt0292610,1,1,No Good Deed,Bob Rafelson
4468,tt0268978,1,1,A Beautiful Mind,Ron Howard
4469,tt0247586,1,1,Nueve reinas,FabiÃ¡n Bielinsky
4470,tt1360860,1,1,Darbareye Elly,Asghar Farhadi
4471,tt0052618,1,1,Ben-Hur,William Wyler
4472,tt1389096,1,1,Stand Up Guys,Fisher Stevens
4473,tt0099685,1,1,Goodfellas,Martin Scorsese
4474,tt0884328,1,1,The Mist,Frank Darabont
4475,tt1242460,1,1,We Need to Talk About Kevin,Lynne Ramsay
4476,tt0401792,1,1,Sin City,"Frank Miller, Quentin Tarantino, Robert Rodriguez"
4477,tt0964185,1,1,Tetro,Francis Ford Coppola
4478,tt0094056,1,1,Street Smart,Jerry Schatzberg
4479,tt0109642,1,1,Dolores Claiborne,Taylor Hackford
4480,tt1103275,1,1,Two Lovers,James Gray
4481,tt0765429,1,1,American Gangster,Ridley Scott
4482,tt0061578,1,1,The Dirty Dozen,Robert Aldrich
4483,tt0300140,1,1,Lilja 4-ever,Lukas Moodysson
4484,tt0430105,1,1,Four Brothers,John Singleton
4485,tt1392214,1,1,Prisoners,Denis Villeneuve
4486,tt1296898,1,1,Waiting for Forever,James Keach
4487,tt0067128,1,1,Get Carter,Mike Hodges
4488,tt1182345,1,1,Moon,Duncan Jones
4489,tt0384537,1,1,Silent Hill,Christophe Gans
4490,tt0109579,1,1,Death and the Maiden,Roman Polanski
4491,tt0089881,1,1,Ran,Akira Kurosawa
4492,tt0452623,1,1,Gone Baby Gone,Ben Affleck
4493,tt0106856,1,1,Falling Down,Joel Schumacher
4494,tt0120885,1,1,Wag the Dog,Barry Levinson
4495,tt0065234,1,1,Z,Costa-Gavras
4496,tt1855199,1,1,End of Watch,David Ayer
4497,tt0274812,1,1,Secretary,Steven Shainberg
4498,tt1194173,1,1,The Bourne Legacy,Tony Gilroy
4499,tt0056172,1,1,Lawrence of Arabia,David Lean
4500,tt0117951,1,1,Trainspotting,Danny Boyle
4501,tt0489037,1,1,Who Killed the Electric Car?,Chris Paine
4502,tt0075686,1,1,Annie Hall,Woody Allen
4503,tt0106881,1,1,Fearless,Peter Weir
4504,tt0397313,1,1,Eight Below,Frank Marshall
4505,tt0086541,1,1,Videodrome,David Cronenberg
4506,tt0265086,1,1,Black Hawk Down,Ridley Scott
4507,tt3397884,1,1,Sicario,Denis Villeneuve
4508,tt2375605,1,1,The Act of Killing,"Joshua Oppenheimer, Christine Cynn, Anonymous"
4509,tt0113118,1,1,Friday,F. Gary Gray
4510,tt0414993,1,1,The Fountain,Darren Aronofsky
4511,tt0079817,1,1,Rocky II,Sylvester Stallone
4512,tt0112883,1,1,Don Juan DeMarco,Jeremy Leven
4513,tt0315543,1,1,Elsker dig for evigt,Susanne Bier
4514,tt0206634,1,1,Children of Men,Alfonso CuarÃ³n
4515,tt1403865,1,1,True Grit,"Joel Coen, Ethan Coen"
4516,tt0119468,1,1,Kiss the Girls,Gary Fleder
4517,tt2080374,1,1,Steve Jobs,Danny Boyle
4518,tt0116282,1,1,Fargo,"Joel Coen, Ethan Coen"
4519,tt0221309,1,1,Judgment Day,John Terlesky
4520,tt0116282,1,1,Fargo,"Joel Coen, Ethan Coen"
4521,tt1454029,1,1,The Help,Tate Taylor
4522,tt1321865,1,1,Carlos,
4523,tt2080374,1,1,Steve Jobs,Danny Boyle
4524,tt0031381,1,1,Gone with the Wind,"Sam Wood, George Cukor, Victor Fleming"
4525,tt0854678,1,1,Taxi to the Dark Side,Alex Gibney
4526,tt1403865,1,1,True Grit,"Joel Coen, Ethan Coen"
4527,tt0078788,1,1,Apocalypse Now,Francis Ford Coppola
4528,tt0315543,1,1,Elsker dig for evigt,Susanne Bier
4529,tt0109707,1,1,Ed Wood,Tim Burton
4530,tt0113118,1,1,Friday,F. Gary Gray
4531,tt2375605,1,1,The Act of Killing,"Joshua Oppenheimer, Christine Cynn, Anonymous"
4532,tt2166616,1,1,Wrong Cops,Quentin Dupieux
4533,tt0298203,1,1,8 Mile,Curtis Hanson
4534,tt0079817,1,1,Rocky II,Sylvester Stallone
