idx,term_id,term,relevance,x,y,z
32,416,slow,-6.979800224304199,10.363542063781573,3.811479076746178,11.788963927054382
33,32,career,-6.985499858856201,10.430096136984822,4.77482684834461,12.37272844256739
34,129,label,-6.990699768066406,10.892909291582034,4.209888480590061,12.51735371389994
35,367,mark,-6.998700141906738,9.59493102236841,4.351429549805692,10.587656273922573
36,1590,look,-7.011000156402588,11.580201984448825,4.292079375970906,15.251874729029206
37,249,tune,-7.019999980926514,10.028543418236662,3.931153217811103,10.5084939972794
38,500,city,-7.026100158691406,10.488556857140837,3.946728143430671,13.906117229795655
39,2336,drama,-7.028600215911865,11.8538125537307,3.9672051091315645,15.443600858701584
40,391,recorded,-7.0304999351501465,10.421190946576152,4.4959094155315364,11.661118559608129
41,2099,metal,-7.043300151824951,11.113838564400606,3.9807139177586692,15.437307393023984
42,411,show,-7.044000148773193,10.36231163405056,4.349454472890443,13.158135048282952
43,85,genre,-7.047599792480469,10.8498551494724,4.412957592272866,14.437353813142431
44,1205,get,-7.049099922180176,9.794874142326007,4.163393066096634,12.78820659282657
45,223,start,-7.054999828338623,10.651647615474747,3.918546415667411,13.206627229345642
46,1995,project,-7.0569000244140625,10.867874876593662,4.46333889469046,12.656632685941423
47,2509,mood,-7.057000160217285,9.823481348029333,3.8533723074407624,11.107902900662761
48,703,these,-7.064199924468994,9.93652654653838,4.241923412686408,10.505543458497357
49,966,fall,-7.09250020980835,9.65310536959946,3.924857367109606,11.634161863161728
50,279,arrangement,-7.094600200653076,9.98531710093628,3.899999767600116,10.506939769388328
51,1251,listen,-7.144800186157227,9.551309779989673,4.074926174456975,9.926046019669705
52,1465,reason,-7.153200149536133,9.386603427168572,4.014765107152012,9.841038319324092
53,460,western,-7.204500198364258,-3.237303306485941,-2.1957257596868653,-3.4278703155753525
54,7007,wilco,-7.338500022888184,-4.158629958785721,-2.7420658238894,-4.263265145637779
55,9720,moore,-7.402299880981445,-3.4232811800121214,-2.269521139420367,-3.68347089277301
56,19685,sadier,-7.454100131988525,-6.657534686638647,-3.433773867781761,-7.2507270511218564
57,146,michael,-7.456099987030029,-3.226358216596999,-2.1924277812681527,-3.4070933506878283
58,5543,evil,-7.535399913787842,-3.61196669285592,-2.325394969048035,-3.8959619113958617
59,8963,beck,-7.621799945831299,-4.2098830372623235,-2.500186472424519,-4.73199394252307
60,20471,screenwriter,-7.740600109100342,-4.581741124559998,-2.588981068693393,-5.306323363671269
61,4385,honor,-7.753300189971924,-4.0688704774734274,-2.4959527742414296,-4.6773076641461975
62,16056,acted,-7.7881999015808105,-3.489435582966576,-2.278451979074429,-3.7700636091965016
63,7001,tweedy,-7.788700103759766,-4.6867987471192,-2.8272796933058584,-5.118373702995994
64,8019,krug,-7.845799922943115,-5.165249973115525,-2.7387383661963547,-6.060112912966626
65,8390,magnificent,-7.851799964904785,-4.260915275176336,-2.5262015414881467,-4.813651470926994
66,4848,stereolab,-7.855100154876709,-5.905632130106101,-3.162180217406907,-6.5833357896718905
67,2782,spectacle,-7.864200115203857,-3.3948259229798117,-2.25315784115171,-3.6530838914400956
68,14239,pitt,-7.880000114440918,-3.8939276054005445,-2.388167136716877,-4.342126530620833
69,11179,insidious,-7.970900058746338,-5.511645675158043,-2.81873235992882,-6.760754966401497
70,899,true_story,-8.036600112915039,-5.565179667067351,-2.781168722238315,-6.827398738821299
71,9582,clumsily,-8.064299583435059,-6.2761697897617825,-2.616218977658394,-7.450618046512437
72,20287,jarmusch,-8.117500305175781,-4.137297843471642,-2.4115272488815234,-4.66218798459659
73,14997,hawley,-8.223299980163574,-6.1745243510513275,-2.8764451223250935,-8.036117165556284
74,7858,hardy,-8.234600067138672,-6.178284228050759,-2.83465928361057,-7.05263958205213
75,7283,yankee,-8.264300346374512,-6.437179907111791,-2.6438854217869148,-9.160517701711752
76,8342,smith_western,-8.334199905395508,-7.2352192795313695,-2.971076654742985,-8.994443985869365
77,7284,yankee_hotel,-8.371000289916992,-7.799673677160905,-2.48333605043136,-11.564206620295737
78,20368,exorcist,-8.392900466918945,-5.937579865986702,-2.6275003955427696,-7.019289238994894
79,20032,talbot,-8.41100025177002,-5.969155023039805,-3.123324737454403,-7.580155639794609
80,2113,plotted,-8.427499771118164,-5.665168030852584,-2.9634891371662015,-7.273370018286172
81,20217,vatican,-8.456999778747559,-9.068555817998178,-2.831580310628364,-11.145826920114207
82,7246,foxtrot,-8.47700023651123,-7.769501819052835,-2.4789615239017437,-11.543632819894063
83,1873,evans,-8.510199546813965,-5.9287675261194845,-3.140891411196755,-7.411758806505834
84,20480,villeneuve,-8.524399757385254,-6.375977944565726,-2.9797799917018684,-8.042340925758301
85,9644,goddard,-8.57229995727539,-5.795640682052974,-2.6110718479012083,-7.402796371430913
86,7285,yankee_hotel_foxtrot,-8.586199760437012,-7.867745204211536,-2.491004113116699,-11.638819873521266
87,3516,slavery,-8.596599578857422,-8.55961536447019,-2.6868109973081395,-10.700173314871252
88,9153,pessimistic,-8.620400428771973,-8.17620013351903,-2.8071192543188532,-9.976077066777924
89,17536,bergman,-8.639300346374512,-4.527307901635908,-2.5716229522416927,-5.233174923188601
90,16294,ranger,-8.667900085449219,-8.644738549714214,-3.22227709562277,-10.8613707713829
91,9208,history_lesson,-8.718999862670898,-6.639488201043981,-2.743025397026175,-8.19374341388044
92,11343,shrewd,-8.736800193786621,-7.8271868047479565,-2.8934871092247896,-9.853130897561508
93,15446,outsize,-8.759499549865723,-9.365038821141626,-3.0438965218271647,-11.636104985750588
94,11853,luomo,-8.775500297546387,-8.725198649503456,-3.3194661321644663,-10.14861355725696
95,15280,biographical,-8.812100410461426,-6.718652602855246,-3.056122439500516,-8.305808402972946
96,16444,phoning,-8.821499824523926,-9.362179287531383,-3.027420837672378,-11.600298958621138
97,18878,witnessing,-8.885299682617188,-7.441789655370434,-2.954811810171328,-9.288061773733443
98,18255,intellectually,-8.930800437927246,-7.916357315582206,-3.0228601085011553,-9.811190580574568
99,14623,savagery,-8.960000038146973,-7.824941466902378,-3.014718763353952,-10.132083843964006
100,14291,corruption,-8.963800430297852,-8.171031977948974,-2.7412364717175683,-10.288722337598436
101,19381,bela,-9.057900428771973,-7.952818239753617,-3.197617997640173,-9.96008744370904
102,16163,platoon,-9.095999717712402,-6.856149497880978,-2.9214558840569462,-8.505041894588093
103,18914,batman,-9.098099708557129,-6.795120005815988,-2.9591603942427605,-8.39469587607708
104,19395,laetitia,-9.1048002243042,-10.37428156590673,-2.959129052067919,-13.67457366712667
105,20375,siri,-9.115799903869629,-10.572544813108916,-3.422042401377566,-12.902905254713438
106,20473,friedkin,-9.118900299072266,-6.367561196781173,-2.776414916003654,-7.649635324021316
107,15055,coney,-9.121700286865234,-10.967321742366389,-2.758478619479878,-13.380866779768297
108,13131,glib,-9.121800422668457,-8.857789156318272,-2.7555077426271373,-10.856197732697824
109,16291,embellishes,-9.138099670410156,-8.769264537123997,-3.039598674039175,-11.30129042624542
110,7578,vladislav,-9.14680004119873,-10.518756030066749,-3.114069126803825,-12.506074333433867
111,15056,coney_island,-9.160300254821777,-10.579050385633112,-3.6342297889643698,-13.522107996936207
112,14233,devised,-9.182999610900879,-9.537704686946714,-3.0327401203975293,-11.798652262180745
113,18056,sausage,-9.194600105285645,-8.204559731066968,-3.225829810556599,-10.571750187928906
114,5053,protege,-9.236599922180176,-10.298810786975565,-2.981942894405955,-12.766137570611521
115,20118,arabic,-9.241700172424316,-10.6576643917585,-2.819104504509954,-13.12549181066707
116,19902,libidinous,-9.245499610900879,-10.909602084057177,-3.3435950778746237,-13.403275017995284
117,17322,hampered,-9.251700401306152,-10.338716875168064,-3.1808329905976453,-13.216756024394936
118,13931,buyer,-9.275899887084961,-10.847693700601784,-3.1113502878347794,-12.940533763363495
119,20189,pitiless,-9.28909969329834,-8.598465509693975,-2.818739982355631,-10.367896025322603
120,20265,marxist,-9.315299987792969,-10.703815802690047,-3.0988267507750518,-13.859492202947383
121,15868,potboiler,-9.358799934387207,-8.323431922286984,-3.268237812825661,-10.629067445322994
122,14645,deferred,-9.410699844360352,-9.977823314771609,-3.1178567036848204,-12.26528402365472
123,17863,knotted,-9.414600372314453,-10.986901083818372,-3.2432316464442605,-13.243464067584245
124,19134,opportunism,-9.4197998046875,-10.252075917446485,-3.1312306441743956,-12.69508385317696
125,18201,horizontal,-9.508199691772461,-10.868301924895587,-3.1968479538616386,-13.769533213726852
126,17540,ingmar,-9.525400161743164,-7.559739619542798,-3.0344045033380223,-9.171803485281247
127,20048,brotherhood,-9.543600082397461,-9.01126584876267,-3.186369893646333,-11.20533621818648
